"Feld";"Dokumente";"Bewertbar";"Treffer";"Abweichungen";"LeererSollwert";"TrefferquoteProzent"
"Lieferant";"128";"124";"97";"27";"4";"78,2"
"Dokumenttyp";"128";"128";"104";"24";"0";"81,2"
"Dokumentdatum";"128";"112";"108";"4";"16";"96,4"
"Neuer Dateiname";"128";"128";"79";"49";"0";"61,7"
"RECHNR";"128";"59";"40";"19";"69";"67,8"
"KUNDENNR";"128";"34";"18";"16";"94";"52,9"
"AUFTRAGNR";"128";"4";"3";"1";"124";"75"
"BESTELLNR";"128";"9";"8";"1";"119";"88,9"
"LIEFERSCHEINNR";"128";"3";"2";"1";"125";"66,7"
"VERSICHERUNGSNR";"128";"15";"9";"6";"113";"60"
"GESAMTBETRAG";"128";"64";"40";"24";"64";"62,5"
